lic,type,date_from,date_to,detail
11013,rename,2025-04-18,2025-06-11,SAVON PHARMACY #4265 -> ALBERTSONS PHARMACY #4265
12385,rename,2021-04-26,2021-09-05,METHODIST CHARLTON MEDICAL CENTER PHARMA -> METHODIST CHARLTON MEDICAL CENTER PHARMACY
12510,disappear,2015-06-23,2015-09-04,last_status=Active
13697,disappear,2017-03-03,2017-07-22,last_status=Active
14440,disappear,2022-05-24,2022-09-05,last_status=Active
14872,disappear,2019-03-03,2019-09-04,last_status=Active
14919,disappear,2025-07-01,2026-08-08,last_status=Active
15454,rename,2014-11-14,2014-12-15,WALGREENS #15672 -> WALGREENS #2915
15569,rename,2017-07-22,2017-10-17,SERVE YOU CUSTOM PRESCRIPTION MANAGEMENT -> SERVE YOU RX
16577,disappear,2014-11-14,2014-12-15,last_status=Active
16726,status,2024-06-14,2024-09-03,Active -> Delinquent
16898,rename,2016-11-03,2016-12-27,DE HARO-SALDIVAR HEALTH -> DE HARO-SALDIVAR HEALTH CENTER PHARMACY
16901,disappear,2025-04-18,2025-06-11,last_status=Active
17384,rename,2015-06-23,2015-09-04,SAVON PHARMACY #4106 -> SAVON PHARMACY #106
17609,rename,2016-12-31,2017-03-03,REEVES COUNTY HOSP PHARMACY -> REEVES COUNTY HOSPITAL PHARMACY
18756,rename,2016-12-31,2017-03-03,MEDICAL CENTER OF PLANO -> MEDICAL CITY PLANO
19316,status,2020-09-06,2021-03-05,Active -> Delinquent
19367,disappear,2022-05-24,2022-09-05,last_status=Active
19610,disappear,2019-09-04,2020-03-04,last_status=Active
19845,disappear,2015-06-23,2015-09-04,last_status=Active
20254,disappear,2019-03-03,2019-09-04,last_status=Active
20379,disappear,2025-07-01,2026-08-08,last_status=Active
20456,status,2015-06-23,2015-09-04,Active -> Delinquent
20525,rename,2016-03-03,2016-09-03,BAYLOR CULLEN TEEN HEALTH -> BAYLOR CULLEN TEEN HEALTH CLINIC
20873,rename,2025-07-01,2026-08-08,SAM'S CLUB PHARMACY 10-4743 -> SAM'S PHARMACY #10-4743
21102,rename,2017-07-22,2017-10-17,"H.E.B. PHARMACY #211, LP -> HEB PHARMACY #211"
21134,rename,2017-07-22,2017-10-17,"H.E.B. PHARMACY #381, LP -> HEB PHARMACY #381"
21510,disappear,2015-09-27,2016-03-03,last_status=Active
21757,rename,2015-09-27,2016-03-03,STAR OF HOPE WOMEN AND FAMILIE -> STAR OF HOPE WOMEN AND FAMILIES SHELTER
21949,rename,2018-09-03,2019-03-03,CLEAR LAKE REGIONAL MEDICAL CENTER -> HCA HOUSTON HEALTHCARE CLEAR LAKE
2198,disappear,2019-03-03,2019-09-04,last_status=Active
22058,rename,2015-06-23,2015-09-04,WAL-MART PHY 10-3579 -> WALMART PHARMACY 10-3579
22158,disappear,2025-07-01,2026-08-08,last_status=Active
22192,rename,2017-07-22,2017-10-17,H.E.B. PHARMACY #567 -> HEB PHARMACY #567
22537,rename,2016-12-31,2017-03-03,DRUG EMPORIUM -> DRUG EMPORIUM #262
22804,rename,2017-07-22,2017-10-17,MIDLAND MEMORIAL OUTPATIENT -> MIDLAND MEMORIAL OUTPATIENT PHARMACY
23063,disappear,2015-05-20,2015-06-23,last_status=Active
23140,status,2022-03-05,2022-05-24,Active -> Delinquent
23294,rename,2019-09-04,2020-03-04,B & B PHARMACY #56 -> BROOKSHIRE BROTHERS PHARMACY #56
23356,rename,2025-07-01,2026-08-08,SAM'S CLUB PHARMACY 10-8226 -> SAM'S PHARMACY #10-8226
23660,status,2016-10-02,2016-11-03,Delinquent -> Probation
23919,rename,2022-09-05,2023-03-06,AMERICAN OUTCOMES MANAGEMENT LP -> AOM INFUSION
24214,disappear,2021-09-15,2021-11-15,last_status=Expired Pharm
24273,rename,2023-07-12,2023-08-08,WALGREENS #9500 -> WALGREENS #09500
24351,disappear,2016-12-31,2017-03-03,last_status=Active
24493,disappear,2021-09-05,2021-09-15,last_status=Active
24739,status,2020-09-06,2021-03-05,Probation -> Active
24945,disappear,2024-03-07,2024-06-14,last_status=Active
25463,disappear,2014-11-14,2014-12-15,last_status=Active
25585,disappear,2015-09-27,2016-03-03,last_status=Active
25590,disappear,2015-06-23,2015-09-04,last_status=Active
25636,disappear,2015-09-04,2015-09-27,last_status=Active
25908,disappear,2017-03-03,2017-07-22,last_status=Active
25929,disappear,2017-03-03,2017-07-22,last_status=Active
25977,rename,2018-03-03,2018-05-17,HEALTHSOUTH REHABILITATION HOSPITAL OF R -> ENCOMPASS HEALTH REHABILITATION HOSPITAL
26070,status,2020-03-04,2020-09-06,Active -> Delinquent
26157,disappear,2015-09-04,2015-09-27,last_status=Active
26176,rename,2017-03-03,2017-07-22,COURTYARD PHARMACY -> BAYLOR SCOTT & WHITE PHARMACY #102
26183,disappear,2017-07-22,2017-10-17,last_status=Active
26204,disappear,2018-06-17,2018-09-03,last_status=Active
26424,status,2017-03-03,2017-07-22,Active -> Delinquent
26426,disappear,2022-09-05,2023-03-06,last_status=Active
26544,rename,2017-03-03,2017-07-22,U.T.M.D. ANDERSON CANCER CTR-SUGARLAND A -> U.T.M.D. ANDERSON CANCER CENTER - SUGARL
26578,disappear,2015-09-27,2016-03-03,last_status=Active
26660,rename,2017-07-22,2017-10-17,FRISCO REPRODUCTIVE SURGERY -> FRISCO REPRODUCTIVE SURGERY CENTER
26686,status,2017-07-22,2017-10-17,Active -> Revocation
26874,disappear,2021-04-26,2021-09-05,last_status=Active
26882,rename,2016-10-02,2016-11-03,OCENIE DRUG EMPORIUM -> SPECTRUM(RX) CUSTOMIZED PHARMACEUTICALS
26899,disappear,2015-03-18,2015-04-18,last_status=Active
27031,disappear,2025-07-01,2026-08-08,last_status=Active
27333,disappear,2024-09-04,2025-03-18,last_status=Active
27387,disappear,2019-09-04,2020-03-04,last_status=Active
27433,rename,2017-10-17,2018-03-03,"PALOMA'S PHARMACY, LLC -> APPLE PHARMACY #3"
27529,rename,2017-07-22,2017-10-17,H.E.B. PHARMACY #647 -> HEB PHARMACY #647
27569,disappear,2019-03-03,2019-09-04,last_status=Active
27588,disappear,2016-03-03,2016-09-03,last_status=Active
27841,disappear,2025-07-01,2026-08-08,last_status=Active
27997,disappear,2017-03-03,2017-07-22,last_status=Active
28018,rename,2021-04-26,2021-09-05,ENVOY HEALTH MANAGEMENT LLC -> OPTUM FRONTIER THERAPIES LLC
28027,disappear,2016-12-31,2017-03-03,last_status=Active
28036,disappear,2015-09-27,2016-03-03,last_status=Active
28069,status,2018-06-17,2018-09-03,Delinquent -> Expired Pharm
28203,disappear,2023-09-05,2024-03-07,last_status=Active
28218,status,2024-09-04,2025-03-18,Probation -> Active
28257,disappear,2015-06-23,2015-09-04,last_status=Active
28264,status,2016-09-03,2016-10-02,Active -> Delinquent
28530,rename,2015-03-18,2015-04-18,"QOL MEDS LLC -> GENOA, A QOL HEALTHCARE COMPANY, LLC"
28586,rename,2016-03-03,2016-09-03,AMERICAN SPECIALTY PHARMACY -> ASPCARES
28605,disappear,2021-11-15,2022-01-04,last_status=Active
28708,status,2015-09-27,2016-03-03,Delinquent -> Active
28752,disappear,2018-06-17,2018-09-03,last_status=Active
28845,rename,2021-04-26,2021-09-05,VIBRA REHABILITATION HOSPITAL OF AMARILL -> VIBRA REHABILITATION HOSPITAL OF AMARILLO
28857,disappear,2023-09-05,2024-03-07,last_status=Active
28899,disappear,2019-03-03,2019-09-04,last_status=Active
28939,status,2017-10-17,2018-03-03,Active -> Delinquent
28972,disappear,2017-03-03,2017-07-22,last_status=Active
29003,status,2015-09-27,2016-03-03,Active -> Delinquent
29037,disappear,2023-09-05,2024-03-07,last_status=Active
29079,disappear,2018-09-03,2019-03-03,last_status=Active
29086,rename,2015-09-27,2016-03-03,SOUTH MIAMI PHARMACY II -> SMP PHARMACY SOLUTIONS
29109,disappear,2018-06-17,2018-09-03,last_status=Active
29168,disappear,2015-09-27,2016-03-03,last_status=Active
29381,disappear,2023-07-12,2023-08-08,last_status=Active
29436,disappear,2016-03-03,2016-09-03,last_status=Active
29452,status,2022-01-04,2022-03-05,Active -> Revocation
29659,rename,2021-04-26,2021-09-05,UTMB HEALTH ANGLETON DANBURY CAMPUS HOSP -> UTMB HEALTH ANGLETON DANBURY CAMPUS HOSPITAL & SURGERY CENTER
29756,appear,2015-01-16,2015-02-15,
29789,appear,2015-02-15,2015-03-18,
29849,appear,2015-02-15,2015-03-18,
29865,disappear,2021-11-15,2022-01-04,last_status=Expired Pharm
29929,appear,2015-03-18,2015-04-18,
29941,disappear,2024-03-07,2024-06-14,last_status=Active
29957,disappear,2019-03-03,2019-09-04,last_status=Active
30091,rename,2019-09-04,2020-03-04,SCHERTZ PHARMACY -> BOERNE NEIGHBORHOOD  PHARMACY
30126,rename,2016-03-03,2016-09-03,PHARMACY CREATIONS -> IMPRIMISRX
30127,disappear,2022-01-04,2022-03-05,last_status=Active
30129,appear,2015-06-23,2015-09-04,
30174,rename,2021-04-26,2021-09-05,HOUSTON METHODIST VOSS EMERGENCY CARE CE -> HOUSTON METHODIST VOSS EMERGENCY CARE CENTER
30268,appear,2015-09-27,2016-03-03,
30335,disappear,2019-03-03,2019-09-04,last_status=Active
30402,appear,2015-09-27,2016-03-03,
30407,disappear,2016-10-02,2016-11-03,last_status=Active
30422,appear,2015-09-27,2016-03-03,
30492,appear,2015-09-27,2016-03-03,
30509,appear,2015-09-27,2016-03-03,
30510,appear,2015-09-27,2016-03-03,
30523,appear,2015-09-27,2016-03-03,
30637,appear,2015-09-27,2016-03-03,
30643,appear,2015-09-27,2016-03-03,
30653,disappear,2025-07-01,2026-08-08,last_status=Active
30658,appear,2015-09-27,2016-03-03,
30674,rename,2021-04-26,2021-09-05,TX DEPT STATE HLTH SRVS PHARMACY CORPUS -> TX DEPT STATE HLTH SRVS PHARMACY CORPUS CHRISTI
30720,rename,2018-03-03,2018-05-17,PIPELINE RX -> PIPELINERX
30736,appear,2016-03-03,2016-09-03,
30745,disappear,2025-07-01,2026-08-08,last_status=Active
30764,appear,2016-03-03,2016-09-03,
30771,rename,2020-03-04,2020-09-06,CVS/PHARMACY #10753 -> CVS/PHARMACY #12000
30778,appear,2016-03-03,2016-09-03,
30800,appear,2016-03-03,2016-09-03,
30822,appear,2016-03-03,2016-09-03,
30832,rename,2021-04-26,2021-09-05,TX DEPT STATE HLTH SRVS PHARMACY KARNES -> TX DEPT STATE HLTH SRVS PHARMACY KARNES CITY
30886,disappear,2022-09-05,2023-03-06,last_status=Delinquent
30887,disappear,2021-04-26,2021-09-05,last_status=Active
30904,rename,2025-07-01,2026-08-08,UNITED PHARMACY #573 -> UNITED PHARMACY #4990
30908,appear,2016-03-03,2016-09-03,
30922,status,2018-06-17,2018-09-03,Active -> Delinquent
30965,appear,2016-03-03,2016-09-03,
31041,disappear,2017-03-03,2017-07-22,last_status=Active
31085,appear,2016-10-02,2016-11-03,
31121,appear,2016-11-03,2016-12-27,
31121,disappear,2021-04-26,2021-09-05,last_status=Expired Pharm
31134,disappear,2018-09-03,2019-03-03,last_status=Active
31198,appear,2016-12-31,2017-03-03,
31223,appear,2016-12-31,2017-03-03,
31278,disappear,2018-06-17,2018-09-03,last_status=Active
31281,status,2018-09-03,2019-03-03,Active -> Delinquent
31302,appear,2016-12-31,2017-03-03,
31320,appear,2017-03-03,2017-07-22,
31333,appear,2017-03-03,2017-07-22,
31333,status,2021-04-26,2021-09-05,Delinquent -> Active
31363,rename,2025-07-01,2026-08-08,URO PHARMACY -> UROPHARMACY
31418,appear,2017-03-03,2017-07-22,
31429,disappear,2021-11-15,2022-01-04,last_status=Active
31430,appear,2017-03-03,2017-07-22,
31445,appear,2017-03-03,2017-07-22,
31474,appear,2017-03-03,2017-07-22,
31486,appear,2017-03-03,2017-07-22,
31525,rename,2018-03-03,2018-05-17,HEALTHSOUTH REHABILITATION HOSPITAL OF P -> ENCOMPASS HEALTH REHAB HOSPITAL OF PEARL
31525,rename,2021-04-26,2021-09-05,ENCOMPASS HEALTH REHAB HOSPITAL OF PEARL -> ENCOMPASS HEALTH REHAB HOSPITAL OF PEARLAND
31581,appear,2017-07-22,2017-10-17,
31609,disappear,2024-03-07,2024-06-14,last_status=Active
31676,disappear,2023-09-05,2024-03-07,last_status=Active
31693,appear,2017-10-17,2018-03-03,
31705,appear,2017-10-17,2018-03-03,
31718,appear,2017-10-17,2018-03-03,
31862,appear,2017-10-17,2018-03-03,
31891,rename,2018-06-17,2018-09-03,COFFEE RX -> INDUSTRIA COFFEE & PHARMACY
31937,status,2021-03-05,2021-04-26,Suspension -> Revocation
31944,appear,2018-03-03,2018-05-17,
31944,status,2022-03-05,2022-05-24,Active -> Revocation
31948,disappear,2024-09-04,2025-03-18,last_status=Active
31980,disappear,2018-09-03,2019-03-03,last_status=Active
31982,disappear,2019-09-04,2020-03-04,last_status=Active
32003,appear,2018-03-03,2018-05-17,
32023,status,2022-05-24,2022-09-05,Active -> Expired Pharm
32029,appear,2018-03-03,2018-05-17,
32061,status,2020-03-04,2020-09-06,Active -> Expired Pharm
32177,disappear,2019-09-04,2020-03-04,last_status=Active
32191,appear,2018-06-17,2018-09-03,
32192,disappear,2025-06-11,2025-07-01,last_status=Active
32212,appear,2018-06-17,2018-09-03,
32224,status,2020-09-06,2021-03-05,Delinquent -> Expired Pharm
32275,disappear,2022-05-24,2022-09-05,last_status=Active
32297,appear,2018-09-03,2019-03-03,
32312,appear,2018-09-03,2019-03-03,
32351,appear,2018-09-03,2019-03-03,
32364,appear,2018-09-03,2019-03-03,
32452,rename,2019-03-03,2019-09-04,TEXIENNE PHARMACY #3 -> FAMILY PHARMACY
32467,appear,2018-09-03,2019-03-03,
32530,appear,2019-03-03,2019-09-04,
32546,appear,2019-03-03,2019-09-04,
32548,appear,2019-03-03,2019-09-04,
32577,appear,2019-03-03,2019-09-04,
32597,disappear,2022-09-05,2023-03-06,last_status=Active
32673,appear,2019-03-03,2019-09-04,
32796,disappear,2022-05-24,2022-09-05,last_status=Active
32844,appear,2019-09-04,2020-03-04,
32889,appear,2019-09-04,2020-03-04,
32908,appear,2019-09-04,2020-03-04,
32923,appear,2019-09-04,2020-03-04,
32929,rename,2021-04-26,2021-09-05,THE HOSPITALS OF PROVIDENCE EMERGENCY RO -> THE HOSPITALS OF PROVIDENCE EMERGENCY ROOM MONTWOOD
32932,appear,2019-09-04,2020-03-04,
32940,appear,2019-09-04,2020-03-04,
32950,disappear,2021-04-26,2021-09-05,last_status=Active
32951,rename,2021-04-26,2021-09-05,BIOLOGICTX -> BIOMATRIX SPECIALTY PHARMACY CA
33008,disappear,2020-03-04,2020-09-06,last_status=Active
33017,appear,2019-09-04,2020-03-04,
33022,appear,2019-09-04,2020-03-04,
33041,appear,2019-09-04,2020-03-04,
33053,appear,2019-09-04,2020-03-04,
33158,appear,2019-09-04,2020-03-04,
33169,status,2024-09-04,2025-03-18,Active -> Probation
33233,appear,2020-03-04,2020-09-06,
33246,status,2024-03-07,2024-06-14,Active -> Delinquent
33359,appear,2020-03-04,2020-09-06,
33533,disappear,2024-06-14,2024-09-03,last_status=Active
33537,appear,2020-09-06,2021-03-05,
33547,appear,2020-09-06,2021-03-05,
33586,disappear,2024-09-04,2025-03-18,last_status=Active
33622,appear,2020-09-06,2021-03-05,
33624,appear,2020-09-06,2021-03-05,
33630,appear,2020-09-06,2021-03-05,
33639,disappear,2023-09-05,2024-03-07,last_status=Active
33671,appear,2020-09-06,2021-03-05,
33720,appear,2021-03-05,2021-04-26,
33771,disappear,2023-09-05,2024-03-07,last_status=Active
33773,disappear,2023-05-01,2023-07-12,last_status=Active
33806,appear,2021-04-26,2021-09-05,
33825,appear,2021-04-26,2021-09-05,
33835,status,2023-09-05,2024-03-07,Delinquent -> Expired Pharm
33895,disappear,2023-09-05,2024-03-07,last_status=Active
33933,appear,2021-04-26,2021-09-05,
33937,disappear,2024-03-07,2024-06-14,last_status=Active
33951,appear,2021-04-26,2021-09-05,
33963,appear,2021-09-15,2021-11-15,
33996,appear,2021-09-15,2021-11-15,
33999,appear,2021-09-15,2021-11-15,
34039,appear,2021-09-15,2021-11-15,
34047,appear,2021-09-15,2021-11-15,
34052,appear,2021-11-15,2022-01-04,
34064,appear,2021-11-15,2022-01-04,
34092,appear,2021-11-15,2022-01-04,
