lic,first_seen,last_seen,still_listed,reappeared_ever,last_status,name,city,state,county,class,ownership
10038,2014-11-14,2024-06-14,False,False,Active,PHARMACY PLUS #1,TEAGUE,TX,FREESTONE,Community Pharmacy,Corporation
10188,2014-11-14,2015-09-27,False,False,Active,SPRINGTOWN DRUG,SPRINGTOWN,TX,PARKER,Community Pharmacy,Corporation
10647,2014-11-14,2026-08-08,True,False,Active,WALGREENS #03848,DEER PARK,TX,HARRIS,Community Pharmacy,Corporation
11077,2014-11-14,2025-07-01,False,False,Active,COBB'S PHARMACY,GEORGE WEST,TX,LIVE OAK,Community Pharmacy,Corporation
13345,2014-11-14,2016-03-03,False,False,Active,TROUP PHARMACY,TROUP,TX,SMITH,Community Pharmacy,Corporation
13457,2014-11-14,2026-08-08,True,False,Active,THE UNIVERSITY OF TEXAS RIO GRANDE VALLEY,EDINBURG,TX,HIDALGO,Clinic,Government
14491,2014-11-14,2026-08-08,True,False,Active,ASCENSION PROVIDENCE PLAZA OUTPATIENT PHARMACY,WACO,TX,MCLENNAN,Community Pharmacy,Corporation
14987,2014-11-14,2019-03-03,False,False,Active,"U.S. PHARMACY, INC.",FOREST HILL,TX,TARRANT,Community Pharmacy,Corporation
15085,2014-11-14,2026-08-08,True,False,Active,WALGREENS #06337,NEW BRAUNFELS,TX,COMAL,Community Pharmacy,Corporation
15189,2014-11-14,2016-03-03,False,False,Active,TARGET MAIL ORDER PHARMACY,COLUMBUS,OH,,Non-Resident (Not Located in Texas),Corporation
15644,2014-11-14,2026-08-08,True,False,Active,ZENITH PHARMACY,FARMERS BRANCH,TX,DALLAS,Community Pharmacy,Corporation
15785,2014-11-14,2023-08-08,False,False,Active,SUPER 1 PHARMACY #612,LONGVIEW,TX,GREGG,Community Pharmacy,Corporation
15792,2014-11-14,2026-08-08,True,False,Active,"CUB DRUG, INC.",OLNEY,TX,YOUNG,Community Pharmacy,Corporation
16120,2014-11-14,2026-08-08,True,False,Active,LAREDO DOWNTOWN PHARMACY INC,LAREDO,TX,WEBB,Community Pharmacy,Corporation
16129,2014-11-14,2024-09-04,False,False,Active,MAXOR PHARMACIES,PORT ARTHUR,TX,JEFFERSON,Community Pharmacy,LLC
16625,2014-11-14,2014-11-14,False,False,Active,HOLMES' PHARMACY,JEWETT,TX,LEON,Community Pharmacy,Corporation
16931,2014-11-14,2023-09-05,False,False,Active,RIVER NORTH PHARMACY,STEPHENVILLE,TX,ERATH,Community Pharmacy,Corporation
17197,2014-11-14,2026-08-08,True,False,Active,CENTER FOR ASSISTED REPRODUCTION,BEDFORD,TX,TARRANT,Institutional (Hospital),Other
17345,2014-11-14,2025-07-01,False,False,Active,CENTRO SAN VICENTE SAN ELIZARIO,SAN ELIZARIO,TX,EL PASO,Clinic,Corporation
17612,2014-11-14,2026-08-08,True,False,Active,WALGREENS #03825,NORTH RICHLAND HILLS,TX,TARRANT,Community Pharmacy,Corporation
18334,2014-11-14,2022-01-04,False,False,Active,THE MEDICINE SHOPPE #1145,LA PORTE,TX,HARRIS,Community Pharmacy,Corporation
18757,2014-11-14,2026-08-08,True,False,Active,MEDICAL CITY NORTH HILLS,NORTH RICHLAND HILLS,TX,TARRANT,Institutional Sterile Compounding,Partnership
18788,2014-11-14,2026-08-08,True,False,Active,BROOKSHIRE BROS. PHARMACY #33,HUNTSVILLE,TX,WALKER,Community Pharmacy,Corporation
18818,2014-11-14,2026-08-08,True,False,Active,MEDICAL CITY DALLAS HOSPITAL PHARMACY,DALLAS,TX,DALLAS,Institutional Sterile Compounding,Partnership
19056,2014-11-14,2019-03-03,False,False,Active,QRC HEALTHMART PHARMACY,CASTROVILLE,TX,MEDINA,Community Pharmacy,Corporation
19230,2014-11-14,2026-08-08,True,False,Active,CUSTOM SCRIPTS PHARMACY,WESLEY CHAPEL,FL,PASCO,Non-Resident (Not Located in Texas),Corporation
19462,2014-11-14,2023-09-05,False,False,Active,SPENCES MEDICAL CENTER PHARMACY,ANGLETON,TX,BRAZORIA,Community Pharmacy,Individual
19497,2014-11-14,2026-08-08,True,False,Active,WALGREENS #04838,SAN ANTONIO,TX,BEXAR,Community Pharmacy,Corporation
19683,2014-11-14,2026-08-08,True,False,Active,WALGREENS #05377,BURLESON,TX,JOHNSON,Community Pharmacy,Corporation
19841,2014-11-14,2025-07-01,False,False,Active,COSTCO PHARMACY #581,EVERETT,WA,,Non-Resident (Not Located in Texas),Corporation
20122,2014-11-14,2026-08-08,True,False,Active,KROGER PHARMACY #316,THE WOODLANDS,TX,MONTGOMERY,Community Pharmacy,Partnership
20159,2014-11-14,2026-08-08,True,False,Active,MATAGORDA REGIONAL MEDICAL CENTER,BAY CITY,TX,MATAGORDA,Institutional Sterile Compounding,Government
20217,2014-11-14,2026-08-08,True,False,Active,KROGER PHARMACY #495,IRVING,TX,DALLAS,Community Pharmacy,Partnership
20260,2014-11-14,2026-08-08,True,False,Active,KROGER PHARMACY #526,BUCKINGHAM,TX,DALLAS,Community Pharmacy,Partnership
20341,2014-11-14,2026-08-08,True,False,Active,SAM'S PHARMACY #10-8277,WESTWORTH VILLAGE,TX,TARRANT,Community Pharmacy,Corporation
21065,2014-11-14,2026-08-08,True,False,Active,HEB PHARMACY #006,STEPHENVILLE,TX,ERATH,Community Pharmacy,Partnership
21136,2014-11-14,2026-08-08,True,False,Active,HEB PHARMACY #384,SAN ANTONIO,TX,BEXAR,Community Pharmacy,Partnership
21233,2014-11-14,2026-08-08,True,False,Active,HEB PHARMACY #019,LYTLE,TX,ATASCOSA,Community Pharmacy,Partnership
21417,2014-11-14,2026-08-08,True,False,Active,UNITED PHARMACY #4549,SNYDER,TX,SCURRY,Community Pharmacy,LLC
21584,2014-11-14,2026-08-08,True,False,Active,WALMART PHARMACY 10-475,ROUND ROCK,TX,WILLIAMSON,Community Pharmacy,LLC
21608,2014-11-14,2026-08-08,True,False,Revocation,ALLIANCE PHARMACY SERVICES INC,ARLINGTON,TX,TARRANT,Community Pharmacy,Corporation
21676,2014-11-14,2026-08-08,True,False,Active,WALMART PHARMACY 10-181,NEW BOSTON,TX,BOWIE,Community Pharmacy,LLC
21689,2014-11-14,2026-08-08,True,False,Active,WALMART PHARMACY 10-3286,HICKORY CREEK,TX,DENTON,Community Pharmacy,LLC
21728,2014-11-14,2026-08-08,True,False,Active,WALMART PHARMACY 10-872,PEARLAND,TX,BRAZORIA,Community Pharmacy,LLC
21738,2014-11-14,2026-08-08,True,False,Active,WALGREENS #06660,DALLAS,TX,DALLAS,Community Pharmacy,Corporation
21877,2014-11-14,2026-08-08,True,False,Active,WALMART PHARMACY 10-2201,EL PASO,TX,EL PASO,Community Pharmacy,LLC
21878,2014-11-14,2026-08-08,True,False,Active,WALMART PHARMACY 10-2667,DALLAS,TX,DALLAS,Community Pharmacy,LLC
21952,2014-11-14,2026-08-08,True,False,Active,HEB PHARMACY #561,FREDERICKSBURG,TX,GILLESPIE,Community Pharmacy,Partnership
22044,2014-11-14,2016-03-03,False,False,Active,RC3 PHARMACY,HOUSTON,TX,HARRIS,Community Pharmacy,Corporation
22100,2014-11-14,2026-08-08,True,False,Active,TOM THUMB PHARMACY #3652,FLOWER MOUND,TX,DENTON,Community Pharmacy,Partnership
22117,2014-11-14,2026-08-08,True,False,Active,TOM THUMB PHARMACY #2990,DALLAS,TX,DALLAS,Community Pharmacy,Partnership
22264,2014-11-14,2026-08-08,True,False,Active,KROGER PHARMACY #893,MESQUITE,TX,DALLAS,Community Pharmacy,Partnership
22279,2014-11-14,2026-08-08,True,False,Active,HEB PHARMACY #558,FRIENDSWOOD,TX,GALVESTON,Community Pharmacy,Partnership
22602,2014-11-14,2024-09-04,False,False,Active,OMNICARE OF WACO,WACO,TX,MC LENNAN,Community Sterile Compounding,Partnership
22703,2014-11-14,2014-12-15,False,False,Active,DUBUIS HOSPITAL OF CORPUS CHRISTI,CORPUS CHRISTI,TX,NUECES,Institutional Sterile,Corporation
22812,2014-11-14,2026-08-08,True,False,Active,WALGREENS #07673,AUSTIN,TX,WILLIAMSON,Community Pharmacy,Corporation
22908,2014-11-14,2023-08-08,False,False,Active,BROOKSHIRE PHARMACY #70,BULLARD,TX,SMITH,Community Pharmacy,Corporation
23002,2014-11-14,2026-08-08,True,False,Active,PARIS REGIONAL MEDICAL CENTER (NORTH CAMPUS),PARIS,TX,LAMAR,Institutional Sterile Compounding,Partnership
23650,2014-11-14,2026-08-08,True,False,Active,WALGREENS #01518,CROSBY,TX,HARRIS,Community Pharmacy,Corporation
23660,2014-11-14,2026-08-08,True,False,Revocation,MASTERY PHARMACY SOUTH,HOUSTON,TX,HARRIS,Community Pharmacy,Corporation
23959,2014-11-14,2026-08-08,True,False,Expired Pharm,LUBBOCK DERMATOLOGY PHARMACY,LUBBOCK,TX,LUBBOCK,Community Pharmacy,Partnership
24344,2014-11-14,2026-08-08,True,False,Probation,CVS/CAREMARK OR CF #11506,WILKES-BARRE,PA,,Non-Resident (Not Located in Texas),Other
24403,2014-11-14,2021-09-15,False,False,Active,LITTLE ELM PHARMACY,LITTLE ELM,TX,DENTON,Community Pharmacy,Corporation
24510,2014-11-14,2026-08-08,True,False,Active,CVS/PHARMACY #7436,MOUNT PLEASANT,TX,TITUS,Community Pharmacy,Corporation
24539,2014-11-14,2019-03-03,False,False,Active,CVS/PHARMACY #3005,SPRING,TX,HARRIS,Community Pharmacy,Corporation
24546,2014-11-14,2024-06-14,False,False,Active,CVS/PHARMACY #5844,DALLAS,TX,DALLAS,Community Pharmacy,Corporation
24637,2014-11-14,2026-08-08,True,False,Active,CVS/PHARMACY #7295,ATHENS,TX,HENDERSON,Community Pharmacy,Corporation
24655,2014-11-14,2026-08-08,True,False,Active,CVS/PHARMACY #7403,SAN ANTONIO,TX,BEXAR,Community Pharmacy,Corporation
