state,source,window_from,window_to,license,event,name,city,last_status,issued,detail,relicense_of,nonresident
TX,tx-pharmacy-sites,2026-08-08,2026-08-15,22317,disappear,SUNRISE PHARMACY INC,CORPUS CHRISTI,Active,2002-09-16,last_status=Active,,
TX,tx-pharmacy-sites,2026-08-08,2026-08-15,30060,disappear,CARECHOICE PHARMACY,GARLAND,Active,2015-06-30,last_status=Active,,
TX,tx-pharmacy-sites,2026-08-08,2026-08-15,31905,disappear,SOUTH TEXAS SURGICAL INSTITUTE,SAN ANTONIO,Expired Pharm,2018-03-15,last_status=Expired Pharm,,
TX,tx-pharmacy-sites,2026-08-08,2026-08-15,33325,disappear,OK PHARMACY NORTH,DONNA,Active,2020-07-13,last_status=Active,,
TX,tx-pharmacy-sites,2026-08-08,2026-08-15,35650,disappear,SHEPHERD SPECIALTY PHARMACY LLC,DESOTO,Active,2025-02-28,last_status=Active,,
TX,tx-pharmacy-sites,2026-08-08,2026-08-15,36245,appear,AZ PHARMACY,FRIENDSWOOD,,2026-08-11,issued=2026-08-11,,
TX,tx-pharmacy-sites,2026-08-08,2026-08-15,36246,appear,HARRIS COUNTY PUBLIC HEALTH RIVERSIDE CLINIC,HOUSTON,,2026-08-11,issued=2026-08-11,,
TX,tx-pharmacy-sites,2026-08-08,2026-08-15,34802,status_change,EL PASO BAPTIST CLINIC,EL PASO,,2023-07-13,Probation -> Active,,
TX,tx-pharmacy-sites,2026-08-08,2026-08-15,36183,name_change,SHARP SURGERY CENTER,AUSTIN,,2026-06-04,SHARP SURGERY CENTER PHARMACY -> SHARP SURGERY CENTER,,
OH,pharm-oh,2026-08-08,2026-08-15,0232000652,appear,DARREN PHARMACY LLC,CLEVELAND,,2026-08-12,issued=2026-08-12,,
OH,pharm-oh,2026-08-08,2026-08-15,0232000653,appear,University Hospitals Cleveland Medical Center,PAINESVILLE,,2026-08-13,issued=2026-08-13,,
OH,pharm-oh,2026-08-08,2026-08-15,0242001116,appear,Indiana BloodWoRx,Indianapolis,,2026-08-13,issued=2026-08-13,,Y
OH,pharm-oh,2026-08-08,2026-08-15,0242001117,appear,Jubilant DraxImage Inc.,Crestwood,,2026-08-13,issued=2026-08-13,,Y
IL,pharm-il,2026-08-08,2026-08-15,054023391,appear,"OAKDELL COMPOUNDING PHARMACY, LLC",SAN ANTONIO,,2026-08-13,issued=2026-08-13,,Y
IL,pharm-il,2026-08-08,2026-08-15,054013588,status_change,MERCY HEALTH SERVICES LLC,MARYLAND HEIGHTS,,1997-03-13,ACTIVE -> CHANGE OF OWNERSHIP,,Y
IL,pharm-il,2026-08-08,2026-08-15,054018864,name_change,DRAGONFLY HEALTH RX INC,MEMPHIS,,2014-12-09,ENCLARA PHARMACIA INC -> DRAGONFLY HEALTH RX INC,,Y
