state,source,window_from,window_to,license,event,name,city,last_status,issued,detail,relicense_of,nonresident,chain
TX,tx-pharmacy-sites,2026-09-05,2026-09-10,36274,appear,NATIONAL HEALTH RX,LAS VEGAS,,2026-09-08,issued=2026-09-08,,Y,other
TX,tx-pharmacy-sites,2026-09-05,2026-09-10,36275,appear,THE HOSPITALS OF PROVIDENCE EMERGENCY ROOM GATEWAY,EL PASO,,2026-09-09,issued=2026-09-09,,,other
TX,tx-pharmacy-sites,2026-09-05,2026-09-10,32201,status_change,CANCER CENTER OF SOUTHEAST TEXAS,PORT ARTHUR,,2018-08-09,Delinquent -> Active,,,other
TX,tx-pharmacy-sites,2026-09-05,2026-09-10,33360,status_change,STERLING PHARMACY,RUSTON,,2020-08-06,Delinquent -> Active,,Y,other
OH,pharm-oh,2026-09-05,2026-09-12,022798550,disappear,FARMAKEIO,RICHARDSON,Active,2017-09-01,last_status=Active,,Y,other
OH,pharm-oh,2026-09-05,2026-09-12,0242001056,disappear,"Striker Pharmacy, LLC",Katy,Active,2026-03-17,last_status=Active,,Y,other
OH,pharm-oh,2026-09-05,2026-09-12,0242001064,disappear,Evoluciona Pharma,Stafford,Active,2026-04-27,last_status=Active,,Y,other
OH,pharm-oh,2026-09-05,2026-09-12,0232000655,appear,University Hospitals Cleveland Medical Center,Beachwood,,2026-09-09,issued=2026-09-09,,,other
OH,pharm-oh,2026-09-05,2026-09-12,0242001126,appear,ReShape Pharmacy Houston,Houston,,2026-09-10,issued=2026-09-10,,Y,other
OH,pharm-oh,2026-09-05,2026-09-12,0242001127,appear,Camel Compounding LLC,Miami,,2026-09-10,issued=2026-09-10,,Y,other
OH,pharm-oh,2026-09-05,2026-09-12,021244850,name_change,THE HOMETOWN PHARMACY,Youngstown,,2001-02-06,"HOMETOWN PHARMACY, THE -> THE HOMETOWN PHARMACY",,,other
IL,pharm-il,2026-09-05,2026-09-12,054023179,appear,SYNERGY APOTHECARY LLC,WAUWATOSA,,2026-09-08,issued=2026-09-08,,Y,other
IL,pharm-il,2026-09-05,2026-09-12,054023353,appear,THE PHARMACY HUB 2 LLC,DAVIE,,2026-09-05,issued=2026-09-05,,Y,other
IL,pharm-il,2026-09-05,2026-09-12,054023510,appear,SENDERRA RX PARTNERS LLC,DALLAS,,2026-09-10,issued=2026-09-10,,Y,other
IL,pharm-il,2026-09-05,2026-09-12,054023511,appear,SENDERRA RX PARTNERS LLC,PLANO,,2026-09-10,issued=2026-09-10,,Y,other
IL,pharm-il,2026-09-05,2026-09-12,054023572,appear,"OPTUM PHARMACY 704, INC",SAN ANTONIO,,2026-09-10,issued=2026-09-10,,Y,chain
IL,pharm-il,2026-09-05,2026-09-12,054012040,status_change,SHARIF PHARMACY INC,CHICAGO,,1995-06-02,INOPERATIVE -> ACTIVE,,,other
IL,pharm-il,2026-09-05,2026-09-12,054016721,status_change,WESTMORELAND PHARMACY INC,NEW ALBANY,,2009-07-24,ACTIVE -> INOPERATIVE,,Y,other
IL,pharm-il,2026-09-05,2026-09-12,054017154,status_change,DEACONESS HOSPITAL INC,EVANSVILLE,,2010-02-04,ACTIVE -> INOPERATIVE,,Y,other
IL,pharm-il,2026-09-05,2026-09-12,054017979,status_change,SENDERRA RX PARTNERS LLC,PLANO,,2012-07-23,ACTIVE -> CHANGE OF OWNERSHIP,,Y,other
IL,pharm-il,2026-09-05,2026-09-12,054018020,status_change,WELLS PHARMACY NETWORK LLC,OCALA,,2013-05-15,ACTIVE -> INOPERATIVE,,Y,other
IL,pharm-il,2026-09-05,2026-09-12,054019459,status_change,NORTHERN VA COMPOUNDERS LLC,STERLING,,2016-02-25,ACTIVE -> INOPERATIVE,,Y,other
IL,pharm-il,2026-09-05,2026-09-12,054019460,status_change,R & V DRUGS INC,TAYLOR,,2015-08-14,INACTIVE -> NOT RENEWED,,Y,other
IL,pharm-il,2026-09-05,2026-09-12,054019684,status_change,NASHVILLE PHARMACY SERVICES LLC,PADUCAH,,2015-12-23,NOT RENEWED -> ACTIVE,,Y,other
IL,pharm-il,2026-09-05,2026-09-12,054019934,status_change,"OPTUM PHARMACY 704, INC",SAN ANTONIO,,2016-05-03,ACTIVE -> CHANGE OF OWNERSHIP,,Y,chain
IL,pharm-il,2026-09-05,2026-09-12,054019991,status_change,SENDERRA RX PARTNERS LLC,DALLAS,,2016-11-07,ACTIVE -> CHANGE OF OWNERSHIP,,Y,other
IL,pharm-il,2026-09-05,2026-09-12,054020338,status_change,SPECIALTY CARE RX LLC,MEMPHIS,,2017-03-22,INOPERATIVE -> ACTIVE,,Y,other
IL,pharm-il,2026-09-05,2026-09-12,054021475,status_change,PCCW LLC,THIENSVILLE,,2020-07-02,ACTIVE -> INOPERATIVE,,Y,other
IL,pharm-il,2026-09-05,2026-09-12,054021558,status_change,RAINA RX LLC,NEWBURGH,,2020-08-26,INOPERATIVE -> ACTIVE,,Y,other
IL,pharm-il,2026-09-05,2026-09-12,054021639,status_change,CD PHARMACY,SPRINGVILLE,,2020-07-22,ACTIVE -> INOPERATIVE,,Y,other
IL,pharm-il,2026-09-05,2026-09-12,054021743,status_change,GOOD SHEPHERD LLC,MEMPHIS,,2020-10-13,INACTIVE -> NOT RENEWED,,Y,other
IL,pharm-il,2026-09-05,2026-09-12,054021792,status_change,EQUI-TOX PHARMA LLC,DRESDEN,,2021-01-06,INACTIVE -> NOT RENEWED,,Y,other
IL,pharm-il,2026-09-05,2026-09-12,054021799,status_change,PRECISION COMPOUNDING PHARMACY INC,OMAHA,,2020-12-04,INACTIVE -> NOT RENEWED,,Y,other
IL,pharm-il,2026-09-05,2026-09-12,054022549,status_change,"CLINICAL SPECIALTY INFUSIONS OF DALLAS, LLC",WEST CHESTER,,2023-07-27,ACTIVE -> INOPERATIVE,,Y,other
IL,pharm-il,2026-09-05,2026-09-12,054022641,status_change,PREVENT RX,PALM SPRINGS,,2024-01-02,INACTIVE -> NOT RENEWED,,Y,other
IL,pharm-il,2026-09-05,2026-09-12,054022647,status_change,TOWN & COUNTRY COMPOUNDING AND CONSULTATION SERVS  LLC,RAMSEY,,2024-02-15,ACTIVE -> INOPERATIVE,,Y,other
IL,pharm-il,2026-09-05,2026-09-12,054023150,status_change,VEM INC,SALINAS,,2025-05-30,ACTIVE -> INOPERATIVE,,Y,other
IL,pharm-il,2026-09-05,2026-09-12,054023233,status_change,BOSTON MEDICAL CENTER CORPORATION,BOSTON,,2025-09-23,INACTIVE -> NOT RENEWED,,Y,other
IL,pharm-il,2026-09-05,2026-09-12,054023286,status_change,NDC HOMECARE LLC,LAS VEGAS,,2025-11-12,ACTIVE -> INOPERATIVE,,Y,other
IL,pharm-il,2026-09-05,2026-09-12,054023357,status_change,PHARMACY XD LLC,PORT RICHEY,,2026-01-05,ACTIVE -> INOPERATIVE,,Y,other
IL,pharm-il,2026-09-05,2026-09-12,054023361,status_change,"MEDFRONT, LLC",DALLAS,,2026-02-04,ACTIVE -> INOPERATIVE,,Y,other
IL,pharm-il,2026-09-05,2026-09-12,054023389,status_change,NUTRISHARE LLC,PHOENIX,,2026-01-02,ACTIVE -> INOPERATIVE,,Y,other
MA,pharm-ma,2026-09-05,2026-09-12,DS3503,status_change,Walgreens 10268,Bellingham,,2007-03-02,Current -> Probation,,,chain
WV,pharm-wv,2026-09-05,2026-09-12,MO0562191,disappear,"Vibrix Pharmacy, LLC",Lindon,Active,,last_status=Active,,Y,other
WV,pharm-wv,2026-09-05,2026-09-12,MO0562354,disappear,"Lizza Pharmaceutical, LLC",Uniontown,Active,,last_status=Active,,Y,other
WV,pharm-wv,2026-09-05,2026-09-12,EP0553854,appear,Mountainstate Orthopedic Associates,Morgantown,,,,,,other
WV,pharm-wv,2026-09-05,2026-09-12,EP0553855,appear,"Hospice Care, Corp",Arthurdale,,,,,,other
WV,pharm-wv,2026-09-05,2026-09-12,MO0562383,appear,CORECOMP RX LLC,HATBORO,,,,,Y,other
WV,pharm-wv,2026-09-05,2026-09-12,MO0562384,appear,"Eden Pharmacy, LLC",Albuquerque,,,,,Y,other
WV,pharm-wv,2026-09-05,2026-09-12,MO0562385,appear,Baton Rouge General Medical Center,Baton Rouge,,,,,Y,other
WV,pharm-wv,2026-09-05,2026-09-12,MO0562386,appear,PillPack LLC,Lockbourne,,,,,Y,chain
WV,pharm-wv,2026-09-05,2026-09-12,MO0562387,appear,"Strategic Pharmaceutical Solutions, Inc.",McDonough,,,,,Y,other
CO,pharm-co,2026-09-05,2026-09-12,413,name_change,Remedi SeniorCare of Colorado LLC,Colorado Springs,,2026-09-04,Walgreen Pharmacy #4301 -> Remedi SeniorCare of Colorado LLC,,,other
CO,pharm-co,2026-09-05,2026-09-12,414,status_change,"Advanced Pharmacy Services, LLC",Craig,,2026-09-04,Cancelled -> Active,,,other
CO,pharm-co,2026-09-05,2026-09-12,414,name_change,"Advanced Pharmacy Services, LLC",Craig,,2026-09-04,"Centura Home Infusion -> Advanced Pharmacy Services, LLC",,,other
CT,pharm-ct-in,2026-09-05,2026-09-12,PCY.0002436,relist,LOFT CHEMISTS LLC,BRIDGEPORT,,2021-09-24,issued=2021-09-24 predates the earlier snapshot by >90d (renewal re-listing),,,other
CT*,pharm-ct-out,2026-09-05,2026-09-12,PCN.0003969,relist,DELRAY PHARMACY,DELRAY BEACH,,2021-07-08,issued=2021-07-08 predates the earlier snapshot by >90d (renewal re-listing),,Y,other
CT*,pharm-ct-out,2026-09-05,2026-09-12,PCN.0004220,relist,AP MAX INCORPORATED,HOUSTON,,2023-08-09,issued=2023-08-09 predates the earlier snapshot by >90d (renewal re-listing),,Y,other
CT*,pharm-ct-out,2026-09-05,2026-09-12,PCN.0004499,relist,"ADVANCECARE TEXAS, INC",DALLAS,,2025-11-21,issued=2025-11-21 predates the earlier snapshot by >90d (renewal re-listing),,Y,other
CT*,pharm-ct-out,2026-09-05,2026-09-12,PCN.0004696,appear,"COSTANOA HEALTH SYSTEMS, LLC",SCOTTSDALE,,2026-09-10,issued=2026-09-10,,Y,other
CT*,pharm-ct-out,2026-09-05,2026-09-12,PCN.0002229,name_change,MEDICAP COMPOUNDING CENTER - CORALVILLE,CORALVILLE,,2010-12-15,MEDICAP PHARMACY -> MEDICAP COMPOUNDING CENTER - CORALVILLE,,Y,other
DE,pharm-de,2026-09-05,2026-09-12,A3-0011119,appear,AARIA PRIME LLC,NEWARK,,2026-09-10,issued=2026-09-10,,,other
DE,pharm-de,2026-09-05,2026-09-12,A4-0013359,appear,"Dutch Ophthalmic, USA",EXETER,,2026-09-04,issued=2026-09-04,,Y,other
DE,pharm-de,2026-09-05,2026-09-12,A4-0013360,appear,"F.H. Investments, Inc.",BIRMINGHAM,,2026-09-04,issued=2026-09-04,,Y,other
DE,pharm-de,2026-09-05,2026-09-12,A4-0013361,appear,GVS TM Inc.,COVINA,,2026-09-04,issued=2026-09-04,,Y,other
DE,pharm-de,2026-09-05,2026-09-12,A9-0013377,appear,Innovative Pharmacy,BRISTOL,,2026-09-08,issued=2026-09-08,,Y,other
DE,pharm-de,2026-09-05,2026-09-12,A9-0013378,appear,IPPC Inc. Pharmacy,MORGANVILLE,,2026-09-08,issued=2026-09-08,,Y,other
DE,pharm-de,2026-09-05,2026-09-12,A9-0013379,appear,"Pencol Specialty Pharmacy, LLC",DENVER,,2026-09-09,issued=2026-09-09,,Y,other
