state,source,window_from,window_to,license,event,name,city,last_status,issued,detail,relicense_of,nonresident,chain
IL,pharm-il,2026-09-12,2026-09-19,054023455,appear,FOUNDATION PHARMACY LLC,SUNRISE,,2026-09-17,issued=2026-09-17,,Y,other
IL,pharm-il,2026-09-12,2026-09-19,054023492,appear,"CLARK'S TENNESSEE PHARMACY, LLC",SPRING HILL,,2026-09-17,issued=2026-09-17,,Y,other
IL,pharm-il,2026-09-12,2026-09-19,054023506,appear,PIPELINE HEALTH HOLDINGS LLC,GREENWOOD VILLAGE,,2026-09-14,issued=2026-09-14,,Y,other
IL,pharm-il,2026-09-12,2026-09-19,054023529,appear,MISSOURI MED LLC,SAINT LOUIS,,2026-09-14,issued=2026-09-14,,Y,other
IL,pharm-il,2026-09-12,2026-09-19,054023530,appear,ST JOHN'S HOSPITAL,SPRINGFIELD,,2026-09-11,issued=2026-09-11,,,other
IL,pharm-il,2026-09-12,2026-09-19,054023549,appear,SENDERRA RX PARTNERS LLC,MORRISVILLE,,2026-09-14,issued=2026-09-14,,Y,other
IL,pharm-il,2026-09-12,2026-09-19,054023550,appear,OPTUMRX INC,CYPRESS,,2026-09-15,issued=2026-09-15,,Y,other
IL,pharm-il,2026-09-12,2026-09-19,054023556,appear,"OPTUM INFUSION SERVICES 305, LLC",PLYMOUTH MEETING,,2026-09-17,issued=2026-09-17,,Y,chain
IL,pharm-il,2026-09-12,2026-09-19,054023558,appear,OPTUM PHARMACY 801 INC,PHOENIX,,2026-09-17,issued=2026-09-17,,Y,chain
IL,pharm-il,2026-09-12,2026-09-19,054023560,appear,OPTUMRX INC,JACKSONVILLE,,2026-09-17,issued=2026-09-17,,Y,other
IL,pharm-il,2026-09-12,2026-09-19,054023563,appear,OPTUM FRONTIER THERAPIES II LLC,LAS VEGAS,,2026-09-17,issued=2026-09-17,,Y,chain
IL,pharm-il,2026-09-12,2026-09-19,054023573,appear,OPTUM PHARMACY 701 LLC,FLINT,,2026-09-15,issued=2026-09-15,,Y,chain
IL,pharm-il,2026-09-12,2026-09-19,054023575,appear,OPTUMRX INC,HOUSTON,,2026-09-15,issued=2026-09-15,,Y,other
IL,pharm-il,2026-09-12,2026-09-19,054023576,appear,ARTISAN DRUG INC,PLANO,,2026-09-17,issued=2026-09-17,,Y,other
IL,pharm-il,2026-09-12,2026-09-19,054023579,appear,OPTUM INFUSION SERVICES 500 INC,ROSEVILLE,,2026-09-11,issued=2026-09-11,,Y,chain
IL,pharm-il,2026-09-12,2026-09-19,054023580,appear,"OPTUM INFUSION SERVICES 305, LLC",LENEXA,,2026-09-17,issued=2026-09-17,,Y,chain
IL,pharm-il,2026-09-12,2026-09-19,054023581,appear,CPS SOLUTIONS LLC,DUBLIN,,2026-09-14,issued=2026-09-14,,Y,other
IL,pharm-il,2026-09-12,2026-09-19,054023585,appear,GENOA HEALTHCARE LLC,INDIANAPOLIS,,2026-09-14,issued=2026-09-14,,Y,chain
IL,pharm-il,2026-09-12,2026-09-19,054008684,status_change,CHARLES DREXLER DRUG INC,CHICAGO,,1997-01-01,ACTIVE -> PROBATION,,,other
IL,pharm-il,2026-09-12,2026-09-19,054013588,status_change,MERCY HEALTH SERVICES LLC,MARYLAND HEIGHTS,,1997-03-13,CHANGE OF OWNERSHIP -> ACTIVE,,Y,other
IL,pharm-il,2026-09-12,2026-09-19,054017424,status_change,MEDS FOR VETS LLC,SANDY,,2012-03-13,INOPERATIVE -> ACTIVE,,Y,other
IL,pharm-il,2026-09-12,2026-09-19,054019038,status_change,WALGREEN CO,SKOKIE,,2015-02-27,INOPERATIVE -> ACTIVE,,,chain
IL,pharm-il,2026-09-12,2026-09-19,054019400,name_change,HEALTHDIRECT INSTITUTIONAL PHARMACY SERVICES INC,FARMINGTON,,2015-08-06,HEALTH DIRECT INSTITUTIONAL PHARMACY SERVICES INC -> HEALTHDIRECT INSTITUTIONAL PHARMACY SERVICES INC,,Y,other
IL,pharm-il,2026-09-12,2026-09-19,054020033,status_change,OPTUM PHARMACY 801 INC,PHOENIX,,2017-01-03,ACTIVE -> CHANGE OF OWNERSHIP,,Y,chain
IL,pharm-il,2026-09-12,2026-09-19,054020429,status_change,"OPTUM INFUSION SERVICES 305, LLC",LENEXA,,2017-07-06,ACTIVE -> CHANGE OF OWNERSHIP,,Y,chain
IL,pharm-il,2026-09-12,2026-09-19,054020440,status_change,"OPTUM INFUSION SERVICES 305, LLC",PLYMOUTH MEETING,,2017-08-23,ACTIVE -> CHANGE OF OWNERSHIP,,Y,chain
IL,pharm-il,2026-09-12,2026-09-19,054021427,status_change,BOSTON MEDICAL CENTER CORPORATION,RANDOLPH,,2019-12-02,INOPERATIVE -> ACTIVE,,Y,other
IL,pharm-il,2026-09-12,2026-09-19,054021816,status_change,OPTUM FRONTIER THERAPIES II LLC,LAS VEGAS,,2021-03-19,ACTIVE -> CHANGE OF OWNERSHIP,,Y,chain
