state,source,window_from,window_to,license,event,name,city,last_status,issued,detail,relicense_of,nonresident,chain
RI,pharm-ri,2026-09-19,2026-09-26,PHN12179,disappear,K PHARMACY LLC,ARMONK,Active,2021-10-06,last_status=Active,,Y,other
RI,pharm-ri,2026-09-19,2026-09-26,PHN12932,appear,ELITE CARE PHARMACY LLC,HOCKLEY,,2026-09-21,issued=2026-09-21,,Y,other
RI,pharm-ri,2026-09-19,2026-09-26,PHN12933,appear,KAZMIRA PHARMACY,WATKINS,,2026-09-21,issued=2026-09-21,,Y,other
RI,pharm-ri,2026-09-19,2026-09-26,PHN12934,appear,QUICK MEDS DIRECT LLC DBA QMD PHARMACY,ARMONK,,2026-09-21,issued=2026-09-21,,Y,other
RI,pharm-ri,2026-09-19,2026-09-26,PHN12935,appear,EVEREST PHARMACY & MEDICAL SUPPLY,MISSOURI CITY,,2026-09-23,issued=2026-09-23,,Y,other
RI,pharm-ri,2026-09-19,2026-09-26,PHN12936,appear,CVS PHARMACY  INC. DBA CVS PHARMACY #11604,ENGLEWOOD,,2026-09-23,issued=2026-09-23,,Y,chain
RI,pharm-ri,2026-09-19,2026-09-26,PHN12937,appear,TRUPHARMA RX,SUNRISE,,2026-09-23,issued=2026-09-23,,Y,other
RI,pharm-ri,2026-09-19,2026-09-26,PHN12938,appear,BELLEAIR PHARMACY AND COMPOUNDING,BELLEAIR BLUFFS,,2026-09-23,issued=2026-09-23,,Y,other
RI,pharm-ri,2026-09-19,2026-09-26,PHN12939,appear,OPTUM PHARMACY 701  LLC,CHARLOTTE,,2026-09-23,issued=2026-09-23,,Y,chain
RI,pharm-ri,2026-09-19,2026-09-26,PHN12940,appear,ABSOLUTE PHARMACY  LLC,LUTZ,,2026-09-23,issued=2026-09-23,,Y,other
RI,pharm-ri,2026-09-19,2026-09-26,PHN12941,appear,OAKDELL COMPOUNDING PHARMACY LLC,SAN ANTONIO,,2026-09-24,issued=2026-09-24,,Y,other
RI,pharm-ri,2026-09-19,2026-09-26,PHN12942,appear,OPTUM RX  INC.,JACKSONVILLE,,2026-09-24,issued=2026-09-24,,Y,chain
RI,pharm-ri,2026-09-19,2026-09-26,PHA00574,name_change,WALGREENS SPECIALTY PHARMACY #15538,PROVIDENCE,,2015-04-28,WALGREENS #15538 -> WALGREENS SPECIALTY PHARMACY #15538,,,chain
