state,source,window_from,window_to,license,event,name,city,last_status,issued,detail,relicense_of,nonresident,chain
TX,tx-pharmacy-sites,2026-08-26,2026-09-02,25320,disappear,SURGICARE OF CORPUS CHRISTI,CORPUS CHRISTI,Active,2006-11-09,last_status=Active,,,other
TX,tx-pharmacy-sites,2026-08-26,2026-09-02,31267,disappear,FIESTA MLK PHARMACY,HOUSTON,Active,2017-02-08,last_status=Active,,,other
TX,tx-pharmacy-sites,2026-08-26,2026-09-02,33272,disappear,CRAWFORD PHARMACY,ORANGE GROVE,Active,2020-06-04,last_status=Active,36268,,other
TX,tx-pharmacy-sites,2026-08-26,2026-09-02,34122,disappear,BELLAIRE  BEST CARE PHARMACY,HOUSTON,Active,2022-01-21,last_status=Active,,,other
TX,tx-pharmacy-sites,2026-08-26,2026-09-02,35464,disappear,MESILLA VALLEY PHARMACY & CONSULTING,LAS CRUCES,Active,2024-08-20,last_status=Active,,Y,other
TX,tx-pharmacy-sites,2026-08-26,2026-09-02,36023,disappear,VINA MED PHARMACY,HOUSTON,Active,2026-01-23,last_status=Active,,,other
TX,tx-pharmacy-sites,2026-08-26,2026-09-02,5266,disappear,"PAVILION PHARMACY, INC.",HOUSTON,Active,,last_status=Active,,,other
TX,tx-pharmacy-sites,2026-08-26,2026-09-02,36266,appear,BROOKSHIRE BROTHERS PHARMACY #118,LUFKIN,,2026-08-27,issued=2026-08-27,,,chain
TX,tx-pharmacy-sites,2026-08-26,2026-09-02,36267,appear,JAR FUSION PHARMACY,SUGAR LAND,,2026-08-28,issued=2026-08-28,,,other
TX,tx-pharmacy-sites,2026-08-26,2026-09-02,36268,appear,FIESTA RX #5,ORANGE GROVE,,2026-08-28,issued=2026-08-28,,,other
TX,tx-pharmacy-sites,2026-08-26,2026-09-02,36269,appear,HEB PHARMACY #823,MONTGOMERY,,2026-08-31,issued=2026-08-31,,,chain
TX,tx-pharmacy-sites,2026-08-26,2026-09-02,36270,appear,MEDFLOW PHARMACY,BROWNFIELD,,2026-09-01,issued=2026-09-01,,,other
TX,tx-pharmacy-sites,2026-08-26,2026-09-02,36271,appear,SAN ANTONIO FERTILITY SURGERY CENTER,SAN ANTONIO,,2026-09-01,issued=2026-09-01,,,other
TX,tx-pharmacy-sites,2026-08-26,2026-09-02,36272,appear,CENTRAL TEXAS RHEUMATOLOGY ASSOCIATES PHARMACY,ROUND ROCK,,2026-09-01,issued=2026-09-01,,,other
TX,tx-pharmacy-sites,2026-08-26,2026-09-02,15078,status_change,EASTSIDE COMMUNITY CLINIC,NACOGDOCHES,,1992-08-20,Active -> Delinquent,,,other
TX,tx-pharmacy-sites,2026-08-26,2026-09-02,19541,status_change,SURGERY SPECIALTY HOSPITALS OF AMERICA SOUTHEAST HOUSTON,PASADENA,,1999-04-23,Active -> Revocation,,,other
TX,tx-pharmacy-sites,2026-08-26,2026-09-02,22272,status_change,COACH'S PHARMACY,MERCEDES,,2002-08-15,Active -> Delinquent,,,other
TX,tx-pharmacy-sites,2026-08-26,2026-09-02,24691,status_change,CVS/PHARMACY #3292,WYLIE,,2006-01-24,Probation -> Active,,,chain
TX,tx-pharmacy-sites,2026-08-26,2026-09-02,25180,status_change,MESQUITE SPECIALTY HOSPITAL,MESQUITE,,2006-08-09,Active -> Delinquent,,,other
TX,tx-pharmacy-sites,2026-08-26,2026-09-02,27054,status_change,CARE RETAIL AND COMPOUNDING,SHENANDOAH,,2010-08-05,Active -> Delinquent,,,other
TX,tx-pharmacy-sites,2026-08-26,2026-09-02,29406,status_change,CEDRA PHARMACY INC,BRONX,,2014-08-05,Active -> Delinquent,,Y,other
TX,tx-pharmacy-sites,2026-08-26,2026-09-02,29455,status_change,FUSION SPECIALTY PHARMACY,SANTA CLARA,,2014-08-19,Active -> Delinquent,,Y,other
TX,tx-pharmacy-sites,2026-08-26,2026-09-02,32081,status_change,RARX II LLC,NASHVILLE,,2018-05-25,Delinquent -> Expired Pharm,,Y,other
